153	105	26	43
150	97	27	45
150	91	27	45
150	84	27	46
151	78	27	46
150	74	26	45
150	72	27	44
148	71	26	42
145	70	26	41
141	65	28	44
137	64	28	42
132	61	31	43
143	54	29	39
142	61	25	37
110	63	25	39
110	60	25	42
111	59	26	43
112	57	28	45
110	55	31	44
106	52	30	43
101	48	29	45
94	46	33	44
87	42	36	46
83	39	33	47
80	37	29	46
78	36	28	45
78	36	26	45
80	37	26	44
82	37	26	44
85	38	28	43
89	42	28	42
94	46	27	44
97	51	27	44
100	56	26	46
103	64	30	45
106	65	29	47
108	64	30	45
113	66	28	43
120	69	27	38
124	67	28	32
127	59	27	31
133	53	28	33
141	47	24	38
145	44	24	40
149	40	24	41
155	40	24	40
158	41	24	41
161	41	25	41
164	42	26	41
166	42	25	41
169	42	24	39
171	40	25	41
175	40	24	39
180	42	26	40
189	45	26	39
198	51	26	38
204	53	27	38
209	62	28	35
216	68	27	37
222	76	30	35
228	82	29	36
235	85	30	36
241	88	31	39
247	91	30	39
252	93	29	39
258	94	29	39
282	93	24	34
286	98	25	34
293	102	28	37
303	111	26	40
311	122	23	44
300	131	27	41
279	137	37	37
256	148	41	44
