352	197	56	100
355	192	50	102
357	191	48	101
358	191	48	101
359	191	49	102
359	190	50	101
358	191	50	102
358	191	49	101
359	190	49	102
357	189	50	101
357	188	49	100
356	186	49	100
356	185	49	100
356	183	49	101
355	180	50	101
358	178	49	101
358	175	49	101
361	170	50	102
366	167	49	100
367	166	49	103
368	177	52	102
369	194	53	104
371	222	53	103
372	247	53	101
370	263	53	100
370	262	51	103
367	253	51	98
362	222	52	104
365	202	51	104
364	184	52	104
362	169	51	102
360	157	50	103
356	161	52	105
349	174	56	101
337	193	56	97
323	206	52	96
303	213	54	97
299	207	51	103
305	202	55	98
319	191	60	95
338	156	60	109
343	128	56	108
331	105	54	108
325	109	52	106
331	124	58	118
337	182	72	119
359	246	74	113
381	277	58	107
388	288	51	102
384	266	56	107
366	199	62	125
371	169	60	111
391	155	54	102
388	159	56	110
362	200	69	110
339	245	65	105
338	262	51	101
334	254	56	96
345	203	56	118
349	161	59	123
348	138	57	110
329	134	58	99
312	161	60	116
295	214	68	132
311	264	56	107
311	272	53	99
307	211	58	126
296	150	68	144
303	129	56	113
307	131	53	109
293	158	59	123
292	202	59	128
295	243	67	110
331	238	63	101
350	223	56	101
319	184	64	114
273	155	60	108
284	155	57	114
300	194	66	121
305	235	61	119
322	267	57	107
328	268	56	97
327	211	61	119
308	165	70	115
291	142	57	107
281	144	58	116
262	187	68	127
267	240	56	109
275	253	54	98
282	226	58	105
284	167	62	129
266	112	70	126
265	105	54	105
266	112	55	128
251	174	67	137
264	241	61	114
271	260	54	102
271	249	52	100
262	189	59	120
253	151	61	116
258	144	52	103
238	154	58	107
233	190	54	113
245	221	72	113
282	241	80	106
323	228	67	103
348	211	54	107
346	196	52	106
342	195	51	104
349	198	53	107
362	207	55	108
369	225	54	102
373	231	53	104
364	224	54	108
345	199	60	109
292	189	86	97
233	159	75	104
228	173	56	105
237	187	55	107
251	201	62	110
275	214	64	102
298	212	64	101
324	207	57	103
339	195	59	104
344	185	53	105
332	189	55	102
324	193	52	102
316	190	53	105
320	189	52	105
328	196	56	108
325	202	54	102
296	195	59	104
284	191	54	108
278	185	55	105
290	174	53	105
288	168	52	106
283	159	55	105
290	149	55	102
296	142	53	107
297	141	53	106
305	151	56	103
305	157	53	103
299	154	54	105
302	138	62	104
337	135	57	102
339	138	54	100
338	149	53	107
336	157	56	102
295	161	71	96
230	153	76	102
209	152	62	102
208	165	54	106
210	168	61	102
243	185	88	86
303	170	106	96
389	155	70	104
409	154	55	109
418	167	55	108
407	171	57	102
359	177	68	95
292	177	86	93
273	181	56	100
270	189	56	99
256	194	54	98
254	188	55	99
277	168	61	104
310	160	67	103
341	156	75	101
390	159	70	107
430	165	62	110
450	174	53	108
432	170	58	104
414	168	54	106
417	170	54	105
435	173	60	100
456	172	60	102
477	167	58	102
512	167	59	103
530	171	52	107
525	177	54	108
522	186	55	107
512	185	56	105
477	186	57	101
457	181	55	102
450	186	51	103
450	185	52	104
468	182	56	102
498	183	55	106
476	178	59	104
413	182	71	98
388	191	55	98
384	188	49	105
376	187	52	102
365	192	53	98
353	200	52	101
359	201	53	102
374	198	57	99
401	194	57	101
400	181	53	111
363	174	60	102
345	176	56	99
329	176	56	99
320	178	53	100
310	184	51	102
311	188	51	106
317	192	53	102
332	191	51	101
335	182	51	107
326	177	53	103
313	179	54	100
288	179	55	99
269	172	56	105
258	171	53	105
258	175	52	106
264	179	54	105
273	183	60	101
301	176	60	105
329	174	58	102
338	174	52	105
319	175	57	99
297	183	55	100
279	183	55	99
251	177	60	104
242	175	53	105
240	173	53	107
235	158	56	104
217	130	55	107
224	115	70	108
251	136	68	115
262	181	71	125
282	240	73	115
298	271	56	105
297	271	55	103
289	239	53	103
299	187	60	109
311	164	59	105
327	156	60	110
340	181	61	121
338	227	58	132
344	284	69	118
365	322	58	110
366	329	55	103
355	289	56	118
342	234	61	129
339	197	64	119
315	181	65	104
311	191	55	112
320	224	64	117
341	279	65	109
355	308	56	106
356	312	54	104
339	285	58	104
314	225	63	117
294	180	61	120
300	159	57	102
312	157	60	111
311	203	64	122
311	265	68	121
327	308	57	104
324	316	54	102
309	290	56	110
289	235	59	118
285	182	65	118
311	159	65	105
324	168	60	115
311	213	67	123
307	277	64	122
306	311	59	99
303	307	53	100
298	270	53	100
305	218	56	107
321	193	63	102
340	206	61	116
337	262	63	127
332	317	62	113
335	336	55	104
324	310	59	108
301	245	66	121
287	183	70	128
296	166	58	102
310	178	58	112
313	233	65	120
326	292	66	112
331	321	56	102
328	314	56	101
309	271	58	109
302	205	59	122
304	145	60	124
305	136	54	104
298	143	57	110
294	187	62	130
302	251	74	121
327	292	65	110
337	302	53	104
322	278	57	105
303	226	61	118
288	162	64	129
291	139	58	105
306	136	58	109
295	171	63	120
284	230	67	132
299	292	68	111
312	308	55	104
314	297	55	100
321	253	55	108
321	199	59	122
309	156	62	116
309	151	52	104
305	161	56	110
302	200	58	122
307	251	60	118
318	288	54	102
314	289	56	98
325	253	55	103
332	198	56	120
324	162	62	112
316	146	54	104
317	148	54	108
315	175	57	113
310	219	58	117
320	266	56	103
329	290	55	104
328	291	54	101
329	259	52	106
328	205	55	121
319	156	64	125
319	139	55	105
316	140	54	108
313	152	56	108
316	183	59	118
324	235	67	122
320	279	61	97
316	282	52	104
311	265	53	100
315	215	55	110
315	174	58	114
312	152	57	106
310	150	55	106
306	165	57	108
288	203	62	104
284	233	55	109
279	265	56	102
279	276	52	103
288	267	55	103
314	247	63	102
340	236	68	102
378	235	67	106
404	240	65	107
435	249	59	107
447	257	53	104
420	257	64	98
373	257	70	96
327	254	71	98
300	251	60	99
300	252	51	103
300	248	50	101
312	233	59	101
342	216	66	103
373	212	59	107
383	204	51	104
383	199	51	107
387	192	49	104
367	192	56	100
324	202	60	99
285	218	56	101
261	232	55	100
262	239	52	103
279	231	58	103
308	218	75	100
357	192	75	110
400	174	69	106
421	167	56	106
426	154	52	110
396	148	61	103
351	144	65	100
319	150	62	102
272	168	70	104
222	181	77	105
178	195	68	108
148	204	60	101
150	202	57	101
168	202	81	95
211	188	107	103
292	155	97	117
349	142	67	111
365	138	58	112
387	152	57	111
396	161	53	106
378	147	60	109
324	142	79	101
269	125	93	96
225	113	68	109
188	114	69	106
161	115	63	102
156	113	56	107
167	94	61	106
197	86	72	106
226	85	70	108
256	87	62	112
271	100	56	110
260	105	59	103
235	111	57	105
225	117	54	105
231	120	55	110
247	128	60	111
269	137	58	103
286	126	66	107
319	121	62	103
334	115	53	107
341	117	50	109
335	126	55	103
323	130	54	102
287	134	62	99
260	135	60	99
256	140	51	105
252	138	55	105
254	120	62	105
277	85	68	106
318	75	79	108
359	81	63	115
378	94	59	114
388	119	55	107
377	128	57	101
349	133	60	102
313	142	62	102
311	146	52	104
313	143	55	102
319	127	59	103
326	99	56	111
334	92	56	111
355	102	61	118
379	132	64	124
385	167	59	109
347	176	62	105
290	182	76	101
239	175	77	108
229	160	56	110
230	149	57	108
224	130	58	107
214	115	55	109
210	109	56	105
227	110	75	110
269	142	86	120
313	181	83	121
342	211	63	110
335	226	57	100
304	214	66	107
287	186	57	112
283	155	63	105
313	109	67	115
343	83	69	108
378	75	60	109
394	87	57	116
404	120	58	119
405	160	61	119
397	193	60	104
357	202	68	101
308	199	76	101
292	177	62	111
283	154	57	112
286	118	58	111
295	90	62	106
316	80	71	110
351	94	66	124
373	129	70	120
395	173	66	115
385	202	63	103
346	205	62	106
314	185	65	115
274	146	74	120
235	98	72	127
226	70	63	118
244	43	77	111
288	52	68	126
309	89	66	119
330	123	70	122
350	165	61	108
334	180	61	102
308	179	62	109
301	165	57	110
298	138	57	110
304	114	58	111
316	105	59	109
339	118	57	114
339	143	59	112
323	162	61	104
313	177	58	106
313	182	54	108
315	179	56	108
317	151	62	114
329	124	58	117
303	104	70	110
272	110	62	107
281	138	56	122
297	177	61	118
309	197	55	109
305	186	58	109
320	151	66	113
341	125	60	119
340	109	58	112
318	111	65	106
316	141	55	119
328	185	58	108
308	202	58	102
274	202	60	110
268	176	61	112
286	138	68	116
304	125	57	111
294	125	57	110
304	148	61	119
325	194	69	116
329	217	60	104
319	211	54	105
314	176	57	112
323	171	58	108
312	190	64	110
