118	69	114	162
122	57	109	172
122	54	111	172
123	54	110	171
123	55	110	169
123	54	111	170
122	53	110	172
123	52	111	170
121	54	111	170
122	53	111	169
120	55	110	169
121	57	110	170
120	57	110	168
120	57	109	166
118	58	110	167
116	58	110	168
114	60	110	167
111	61	111	166
109	61	110	168
106	60	109	168
103	62	109	167
98	60	113	166
97	59	112	158
94	60	114	152
92	58	116	146
90	58	115	145
87	57	117	143
86	56	118	142
86	55	118	140
86	53	121	139
85	51	120	138
84	48	121	137
84	47	123	139
85	46	122	140
85	47	123	141
86	47	121	139
86	47	124	139
88	46	120	141
88	47	123	139
89	46	122	139
90	46	123	140
92	46	122	144
95	46	120	141
97	46	123	142
99	46	124	141
100	46	123	138
103	46	126	142
106	46	124	140
108	46	123	140
110	45	124	139
111	46	125	141
112	46	126	140
115	46	123	142
115	46	124	143
118	46	124	142
121	48	124	143
122	49	122	143
123	49	123	144
123	51	124	144
127	53	121	145
130	56	117	147
130	57	116	148
133	58	113	150
133	61	113	151
135	62	110	153
135	64	110	155
134	65	110	157
134	65	112	159
135	65	111	162
137	66	110	165
138	65	110	167
139	67	111	167
138	65	110	169
138	64	110	171
139	65	110	170
139	63	110	169
138	64	110	172
137	64	111	173
137	65	111	171
137	63	111	170
135	65	110	164
135	65	110	164
135	64	109	166
136	63	107	168
139	60	105	173
139	60	106	180
141	60	104	177
143	61	103	181
148	63	97	174
152	65	91	175
153	66	88	172
152	69	88	171
152	67	87	172
148	69	89	169
145	70	90	172
144	72	90	171
143	72	91	171
139	72	93	173
140	72	93	173
140	72	92	174
139	72	91	172
139	72	91	170
141	72	89	170
140	72	90	171
139	72	90	172
139	71	91	171
140	71	89	172
140	71	89	171
140	71	89	171
140	72	89	170
140	72	88	171
140	71	88	171
140	73	88	170
140	73	89	169
138	74	89	170
138	72	89	171
139	72	89	171
140	72	89	172
139	74	89	168
139	73	88	172
136	73	91	173
138	75	90	172
136	73	91	171
140	75	89	169
139	74	90	171
137	74	90	168
137	73	91	171
137	73	90	173
135	74	93	169
137	74	92	170
136	74	91	170
137	75	91	170
138	74	89	170
136	73	91	172
135	72	91	171
138	72	89	168
137	68	88	174
135	67	91	171
130	66	95	171
126	65	97	171
125	64	99	171
121	63	102	174
120	64	103	175
119	63	105	175
115	63	107	173
113	61	110	173
111	60	112	169
112	63	107	168
111	62	110	173
110	61	110	173
110	61	109	169
111	61	108	171
110	60	109	170
110	60	109	171
109	61	109	170
110	61	110	171
108	60	109	168
108	61	109	173
108	61	109	170
108	62	108	168
107	60	111	170
107	60	110	169
107	61	110	166
108	60	109	166
108	61	108	168
108	61	108	166
109	62	106	168
108	60	108	167
109	63	109	160
109	62	110	158
