306	5	95	65
316	6	89	81
322	27	90	84
330	53	88	87
332	86	103	85
334	119	107	87
330	137	114	81
322	133	113	89
317	112	114	92
318	84	105	98
292	65	107	105
276	36	100	87
258	24	89	89
241	15	86	87
225	7	87	88
215	7	94	89
211	14	99	88
214	30	92	85
219	54	87	92
223	81	83	93
238	105	87	88
244	126	107	77
257	124	110	74
260	105	95	84
277	73	103	74
289	53	101	78
285	36	102	78
271	17	94	80
250	9	91	78
245	4	81	79
231	1	89	80
228	2	91	90
245	8	97	107
265	27	104	107
288	34	133	105
313	57	155	97
373	36	144	120
417	41	144	119
384	163	120	106
395	172	122	96
413	160	116	86
434	136	102	85
433	119	96	80
414	104	91	84
376	94	92	83
352	86	91	86
341	74	86	88
333	71	84	87
325	70	85	86
320	71	90	87
318	79	97	89
307	95	112	96
291	128	132	104
320	127	135	106
342	121	118	108
357	116	109	106
366	105	117	101
381	102	122	97
396	84	129	110
403	57	131	129
401	31	136	139
387	2	138	146
366	-8	141	128
359	-8	135	100
357	-6	109	83
355	-3	82	68
349	0	77	66
349	1	76	71
353	12	80	76
361	25	91	77
371	45	104	79
