310	102	39	50
309	100	38	49
306	100	39	49
305	98	38	49
305	98	38	50
303	96	38	49
302	95	38	48
301	94	38	50
299	91	38	49
298	91	38	50
297	90	38	50
295	90	38	49
294	89	38	49
294	89	38	49
293	87	38	48
292	86	38	48
291	85	38	48
290	85	36	48
290	84	37	47
289	84	36	48
288	83	37	48
287	82	37	48
286	82	38	48
284	82	38	48
283	82	39	48
281	82	38	48
280	82	38	48
279	82	38	48
277	81	39	48
276	81	38	48
274	81	39	49
272	80	38	48
270	81	39	49
268	80	38	49
266	80	39	49
264	79	39	49
263	80	39	50
261	79	39	48
259	80	39	49
258	81	39	49
256	81	39	49
254	82	39	49
254	82	39	50
252	83	39	48
252	84	38	49
250	84	38	48
250	84	36	49
249	84	38	47
247	84	37	47
247	84	38	46
248	83	36	46
249	82	36	45
249	80	38	45
250	77	37	46
252	76	38	47
254	73	40	48
255	70	41	52
259	67	42	53
265	64	44	59
266	62	42	55
268	59	42	64
269	56	42	61
273	53	42	58
277	53	43	55
276	52	45	57
281	48	46	56
282	47	45	53
287	48	45	50
290	45	45	50
293	44	43	49
297	43	43	48
301	41	42	46
305	41	40	47
307	40	41	46
309	38	41	49
311	37	41	48
311	36	43	50
312	34	42	49
314	32	41	49
316	31	41	45
317	30	40	48
318	30	41	48
317	30	41	46
317	26	40	47
317	24	41	48
318	24	40	48
318	24	40	48
315	23	41	49
316	24	40	48
317	25	40	47
315	25	39	49
315	26	39	48
314	26	40	49
313	27	40	47
313	26	39	49
313	27	40	49
313	27	39	49
312	28	38	50
311	30	39	52
309	32	39	49
309	33	41	48
309	34	40	48
309	31	37	52
309	33	38	52
305	26	39	58
304	29	42	57
304	34	40	54
306	38	40	52
300	35	45	50
304	37	46	47
303	35	44	49
361	19	43	51
356	23	45	48
352	22	45	49
346	25	46	47
343	26	45	46
335	27	46	53
336	27	41	51
317	28	54	58
317	27	51	61
319	26	45	60
322	25	40	63
322	26	42	64
322	25	43	67
322	25	44	67
317	27	49	65
318	30	48	61
317	30	49	62
321	38	46	53
324	43	45	50
322	41	47	52
325	45	44	51
326	46	42	51
326	49	41	50
323	48	41	50
322	49	40	50
320	48	40	51
318	48	40	52
314	49	46	52
313	47	47	52
311	50	48	51
307	50	46	52
306	50	45	50
305	50	44	49
304	51	45	47
303	51	49	50
299	51	45	46
297	50	43	44
297	50	43	44
295	51	44	44
294	49	42	45
294	44	45	49
294	47	45	48
292	42	47	49
293	42	46	49
291	46	46	48
291	47	48	51
291	46	48	48
292	43	47	49
291	44	46	48
291	43	44	47
289	42	42	48
287	41	41	48
285	42	42	49
281	42	45	52
284	44	41	49
281	42	40	46
282	42	37	44
281	43	36	45
280	43	37	46
280	43	38	46
280	45	39	46
279	43	40	45
280	45	40	45
