1
130.2412,315.5694,126.5865,98.9235
138.4058,318.1979,129.5635,101.4879
145.3562,316.9707,134.9351,101.2780
162.5345,309.6987,129.5368,105.8639
176.7948,285.8345,136.7937,138.1973
193.2917,294.4582,124.6087,132.3469
200.7310,298.5813,119.6316,122.2577
201.2552,305.1757,119.7893,114.3648
203.5563,310.4888,128.5255,107.5164
209.6157,311.6332,137.2498,103.6514
217.8092,306.0524,131.2689,108.9615
230.6850,294.5583,124.1557,113.6932
246.8513,287.3215,111.3841,113.3704
262.9824,283.8421,110.5488,108.7357
267.8858,289.5240,127.6138,96.5855
274.0299,281.5872,128.5688,110.3164
278.7422,277.8579,128.8192,110.0341
284.3901,265.7688,123.9615,114.9975
292.3610,264.2668,121.1599,114.3411
299.9946,259.0348,117.0560,119.3020
301.1210,251.7155,125.4878,123.3448
305.2609,256.0689,122.4497,121.0551
307.9215,252.2523,121.0002,119.2114
311.3811,248.2215,118.6218,115.5462
318.6412,246.1347,109.2996,108.0744
333.0609,245.7524,98.3688,104.7797
343.6868,250.0475,105.5558,105.1638
351.3773,259.0588,113.7348,104.3432
360.4052,256.3183,117.1793,107.9480
366.3296,258.5446,120.0743,106.4408
376.7238,256.1642,109.0346,111.9230
373.8944,254.5444,118.7165,112.6336
379.4603,251.4545,118.6687,114.3177
390.2607,245.2524,115.3824,113.8520
397.0370,244.3000,119.4240,113.1347
403.1742,236.3304,118.5561,113.0922
408.2881,236.1678,114.0389,116.2574
426.9102,236.8229,98.1843,109.6279
440.6880,240.7846,86.1845,104.6741
452.0353,243.8719,85.8158,102.6652
459.1644,241.3215,87.9491,96.5603
464.6140,237.6852,89.8969,104.0814
468.3911,235.4983,86.0126,108.2375
472.7371,238.7493,81.5048,98.1328
472.5718,239.6380,81.7424,98.6264
475.2973,239.1916,83.0840,99.7214
480.7507,239.7803,85.2991,95.7638
474.6627,238.8650,95.8949,92.0626
479.6233,242.0263,96.1974,88.7325
484.9555,238.1963,89.4234,89.9227
493.3586,237.1301,72.0349,87.5566
509.0469,234.9868,67.7987,88.2663
518.3084,232.9247,68.2156,89.4118
522.3510,236.7055,71.7049,84.7733
529.7411,232.7338,66.8574,86.5970
534.9283,231.7519,66.3469,85.5886
541.7812,229.0528,65.5668,82.2268
546.5486,226.0126,59.5852,84.2827
552.9143,225.4046,60.7968,83.3488
558.9838,227.5927,60.5351,80.5760
560.9415,228.6548,61.4153,78.9404
564.7955,228.7455,55.2443,77.8816
570.8173,227.3216,52.9204,78.4681
572.4912,229.2607,53.2321,77.6945
578.0923,229.9180,45.7589,79.3707
578.8915,229.8886,45.9259,77.1231
581.2726,231.6315,51.6660,88.3441
561.2085,246.2069,85.8742,84.0307
548.3508,248.3796,112.8329,97.2921
539.0280,252.3734,135.9325,105.6374
531.4477,244.2201,124.8858,118.3702
521.0402,235.5008,114.2637,120.0464
492.0220,226.7727,114.5443,132.4707
474.6494,244.9480,125.0015,114.7841
458.0927,223.0256,122.8167,132.9912
430.2108,214.5811,140.6193,139.5712
425.9113,221.3763,119.4316,134.9568
406.3380,222.8696,140.4987,126.4557
398.4380,240.5255,145.9093,107.4986
394.3101,240.3028,131.4903,110.7650
2
0
0
0
0
1
481.9955,202.0586,89.5070,58.3547
480.6559,198.9895,86.4085,60.2571
478.3918,193.2764,83.5588,68.3649
477.3309,189.7685,82.1390,73.5592
474.3254,183.9794,80.7656,75.9252
471.4278,185.9538,80.8634,76.1641
473.0093,186.5286,80.9707,71.4413
472.1780,186.9102,74.6236,73.7728
476.0509,188.3427,74.1842,70.6381
474.9520,189.2064,74.5991,70.1798
473.7092,190.3497,74.5701,70.2950
477.4728,193.8661,75.8042,70.2695
481.4210,190.4209,76.3824,71.4602
480.6071,190.5197,77.4133,70.3230
